,patient_id,slice_name,class,metric_type,metric_value
0,01,,Esophagus,Dice,0.6901093
1,01,,Heart,Dice,0.88624173
2,01,,Trachea,Dice,0.87664604
3,01,,Aorta,Dice,0.83048683
4,01,,Esophagus,Sensitivity,0.6478734
5,01,,Heart,Sensitivity,0.81562287
6,01,,Trachea,Sensitivity,0.8147871
7,01,,Aorta,Sensitivity,0.853729
8,01,,Esophagus,Specificity,0.99987614
9,01,,Heart,Specificity,0.9998467
10,01,,Trachea,Specificity,0.99997646
11,01,,Aorta,Specificity,0.99964017
12,01,,Esophagus,Hausdorff,8.062258
13,01,,Heart,Hausdorff,7.0
14,01,,Trachea,Hausdorff,6.708204
15,01,,Aorta,Hausdorff,12.083046
16,01,,Esophagus,IoU,0.526845
17,01,,Heart,IoU,0.79572177
18,01,,Trachea,IoU,0.78038275
19,01,,Aorta,IoU,0.7101133
20,01,,Esophagus,Precision,0.7382361
21,01,,Heart,Precision,0.97024846
22,01,,Trachea,Precision,0.9486695
23,01,,Aorta,Precision,0.8084766
24,01,,Esophagus,Volumetric,0.9348084
25,01,,Heart,Volumetric,0.9134173
26,01,,Trachea,Volumetric,0.92407954
27,01,,Aorta,Volumetric,0.9727757
28,01,,Esophagus,VOE,0.47315502
29,01,,Heart,VOE,0.20427823
30,01,,Trachea,VOE,0.21961725
31,01,,Aorta,VOE,0.2898867
32,13,,Esophagus,Dice,0.60087055
33,13,,Heart,Dice,0.925123
34,13,,Trachea,Dice,0.8730894
35,13,,Aorta,Dice,0.85913366
36,13,,Esophagus,Sensitivity,0.572638
37,13,,Heart,Sensitivity,0.95870376
38,13,,Trachea,Sensitivity,0.89125293
39,13,,Aorta,Sensitivity,0.8956626
40,13,,Esophagus,Specificity,0.99986815
41,13,,Heart,Specificity,0.99908906
42,13,,Trachea,Specificity,0.99995744
43,13,,Aorta,Specificity,0.9995768
44,13,,Esophagus,Hausdorff,22.0
45,13,,Heart,Hausdorff,137.81873
46,13,,Trachea,Hausdorff,106.67239
47,13,,Aorta,Hausdorff,11.0
48,13,,Esophagus,IoU,0.42946032
49,13,,Heart,IoU,0.860678
50,13,,Trachea,IoU,0.77476364
51,13,,Aorta,IoU,0.7530537
52,13,,Esophagus,Precision,0.6320314
53,13,,Heart,Precision,0.8938151
54,13,,Trachea,Precision,0.8556514
55,13,,Aorta,Precision,0.8254675
56,13,,Esophagus,Volumetric,0.95069736
57,13,,Heart,Volumetric,0.96497273
58,13,,Trachea,Volumetric,0.9796202
59,13,,Aorta,Volumetric,0.9592157
60,13,,Esophagus,VOE,0.5705397
61,13,,Heart,VOE,0.13932198
62,13,,Trachea,VOE,0.22523636
63,13,,Aorta,VOE,0.24694628
64,22,,Esophagus,Dice,0.42063382
65,22,,Heart,Dice,0.9198804
66,22,,Trachea,Dice,0.8445887
67,22,,Aorta,Dice,0.85350484
68,22,,Esophagus,Sensitivity,0.47771892
69,22,,Heart,Sensitivity,0.8912574
70,22,,Trachea,Sensitivity,0.75903076
71,22,,Aorta,Sensitivity,0.8928956
72,22,,Esophagus,Specificity,0.99978524
73,22,,Heart,Specificity,0.9996434
74,22,,Trachea,Specificity,0.9999856
75,22,,Aorta,Specificity,0.99974984
76,22,,Esophagus,Hausdorff,17.944359
77,22,,Heart,Hausdorff,42.825226
78,22,,Trachea,Hausdorff,7.071068
79,22,,Aorta,Hausdorff,41.036568
80,22,,Esophagus,IoU,0.26633078
81,22,,Heart,IoU,0.8516468
82,22,,Trachea,IoU,0.7309853
83,22,,Aorta,IoU,0.74444693
84,22,,Esophagus,Precision,0.37573528
85,22,,Heart,Precision,0.95040286
86,22,,Trachea,Precision,0.9518852
87,22,,Aorta,Precision,0.8174427
88,22,,Esophagus,Volumetric,0.88050485
89,22,,Heart,Volumetric,0.96788466
90,22,,Trachea,Volumetric,0.88728
91,22,,Aorta,Volumetric,0.9558842
92,22,,Esophagus,VOE,0.7336692
93,22,,Heart,VOE,0.14835322
94,22,,Trachea,VOE,0.26901472
95,22,,Aorta,VOE,0.25555307
96,28,,Esophagus,Dice,0.38900873
97,28,,Heart,Dice,0.54725146
98,28,,Trachea,Dice,0.6946622
99,28,,Aorta,Dice,0.69995165
100,28,,Esophagus,Sensitivity,0.3011074
101,28,,Heart,Sensitivity,0.39045393
102,28,,Trachea,Sensitivity,0.54799765
103,28,,Aorta,Sensitivity,0.5725688
104,28,,Esophagus,Specificity,0.9998802
105,28,,Heart,Specificity,0.9994441
106,28,,Trachea,Specificity,0.9999914
107,28,,Aorta,Specificity,0.9998492
108,28,,Esophagus,Hausdorff,11.224972
109,28,,Heart,Hausdorff,17.691807
110,28,,Trachea,Hausdorff,15.811388
111,28,,Aorta,Hausdorff,22.561028
112,28,,Esophagus,IoU,0.24147166
113,28,,Heart,IoU,0.37670073
114,28,,Trachea,IoU,0.5321704
115,28,,Aorta,IoU,0.53840435
116,28,,Esophagus,Precision,0.5493906
117,28,,Heart,Precision,0.91449
118,28,,Trachea,Precision,0.9485219
119,28,,Aorta,Precision,0.9002318
120,28,,Esophagus,Volumetric,0.70807314
121,28,,Heart,Volumetric,0.5984225
122,28,,Trachea,Volumetric,0.73236287
123,28,,Aorta,Volumetric,0.7775239
124,28,,Esophagus,VOE,0.75852835
125,28,,Heart,VOE,0.62329924
126,28,,Trachea,VOE,0.46782959
127,28,,Aorta,VOE,0.46159565
