,patient_id,slice_name,class,metric_type,metric_value
0,01,,Esophagus,Dice,0.73141354
1,01,,Heart,Dice,0.9311749
2,01,,Trachea,Dice,0.8611394
3,01,,Aorta,Dice,0.9046436
4,01,,Esophagus,Sensitivity,0.6531899
5,01,,Heart,Sensitivity,0.88914406
6,01,,Trachea,Sensitivity,0.79193205
7,01,,Aorta,Sensitivity,0.89492047
8,01,,Esophagus,Specificity,0.99992836
9,01,,Heart,Specificity,0.9998738
10,01,,Trachea,Specificity,0.9999747
11,01,,Aorta,Specificity,0.9998513
12,01,,Esophagus,Hausdorff,16.03122
13,01,,Heart,Hausdorff,24.779024
14,01,,Trachea,Hausdorff,17.916473
15,01,,Aorta,Hausdorff,15.842979
16,01,,Esophagus,IoU,0.5765579
17,01,,Heart,IoU,0.8712135
18,01,,Trachea,IoU,0.7561412
19,01,,Aorta,IoU,0.82588977
20,01,,Esophagus,Precision,0.83092165
21,01,,Heart,Precision,0.9773765
22,01,,Trachea,Precision,0.9436012
23,01,,Aorta,Precision,0.9145804
24,01,,Esophagus,Volumetric,0.88024366
25,01,,Heart,Volumetric,0.95272887
26,01,,Trachea,Volumetric,0.9126095
27,01,,Aorta,Volumetric,0.98913515
28,01,,Esophagus,VOE,0.42344213
29,01,,Heart,VOE,0.1287865
30,01,,Trachea,VOE,0.24385881
31,01,,Aorta,VOE,0.17411023
32,13,,Esophagus,Dice,0.608555
33,13,,Heart,Dice,0.90530175
34,13,,Trachea,Dice,0.8993399
35,13,,Aorta,Dice,0.90921247
36,13,,Esophagus,Sensitivity,0.57331526
37,13,,Heart,Sensitivity,0.8452909
38,13,,Trachea,Sensitivity,0.90189123
39,13,,Aorta,Sensitivity,0.89806396
40,13,,Esophagus,Specificity,0.9998771
41,13,,Heart,Specificity,0.999823
42,13,,Trachea,Specificity,0.9999706
43,13,,Aorta,Specificity,0.999827
44,13,,Esophagus,Hausdorff,7.81025
45,13,,Heart,Hausdorff,10.0
46,13,,Trachea,Hausdorff,45.497253
47,13,,Aorta,Hausdorff,65.26102
48,13,,Esophagus,IoU,0.43735468
49,13,,Heart,IoU,0.8269875
50,13,,Trachea,IoU,0.81709146
51,13,,Aorta,IoU,0.83353764
52,13,,Esophagus,Precision,0.64841056
53,13,,Heart,Precision,0.9744846
54,13,,Trachea,Precision,0.896803
55,13,,Aorta,Precision,0.92064124
56,13,,Esophagus,Volumetric,0.9385334
57,13,,Heart,Volumetric,0.9290057
58,13,,Trachea,Volumetric,0.99717116
59,13,,Aorta,Volumetric,0.987586
60,13,,Esophagus,VOE,0.5626453
61,13,,Heart,VOE,0.1730125
62,13,,Trachea,VOE,0.18290854
63,13,,Aorta,VOE,0.16646236
64,22,,Esophagus,Dice,0.51836735
65,22,,Heart,Dice,0.9172836
66,22,,Trachea,Dice,0.87349826
67,22,,Aorta,Dice,0.84548825
68,22,,Esophagus,Sensitivity,0.4353381
69,22,,Heart,Sensitivity,0.8806213
70,22,,Trachea,Sensitivity,0.8319498
71,22,,Aorta,Sensitivity,0.9663617
72,22,,Esophagus,Specificity,0.9999339
73,22,,Heart,Specificity,0.99969757
74,22,,Trachea,Specificity,0.9999726
75,22,,Aorta,Specificity,0.99959904
76,22,,Esophagus,Hausdorff,8.062258
77,22,,Heart,Hausdorff,5.8309517
78,22,,Trachea,Hausdorff,35.0
79,22,,Aorta,Hausdorff,45.749317
80,22,,Esophagus,IoU,0.34986225
81,22,,Heart,IoU,0.8472058
82,22,,Trachea,IoU,0.7754078
83,22,,Aorta,IoU,0.732334
84,22,,Esophagus,Precision,0.64053184
85,22,,Heart,Precision,0.95713115
86,22,,Trachea,Precision,0.9194148
87,22,,Aorta,Precision,0.75149107
88,22,,Esophagus,Volumetric,0.80927646
89,22,,Heart,Volumetric,0.9583677
90,22,,Trachea,Volumetric,0.9500589
91,22,,Aorta,Volumetric,0.87491906
92,22,,Esophagus,VOE,0.6501378
93,22,,Heart,VOE,0.15279418
94,22,,Trachea,VOE,0.22459221
95,22,,Aorta,VOE,0.26766598
96,28,,Esophagus,Dice,0.6135015
97,28,,Heart,Dice,0.87824816
98,28,,Trachea,Dice,0.8535995
99,28,,Aorta,Dice,0.8793604
100,28,,Esophagus,Sensitivity,0.581473
101,28,,Heart,Sensitivity,0.7968862
102,28,,Trachea,Sensitivity,0.8309776
103,28,,Aorta,Sensitivity,0.8659716
104,28,,Esophagus,Specificity,0.9998476
105,28,,Heart,Specificity,0.9997285
106,28,,Trachea,Specificity,0.9999664
107,28,,Aorta,Specificity,0.99975383
108,28,,Esophagus,Hausdorff,11.575837
109,28,,Heart,Hausdorff,12.0
110,28,,Trachea,Hausdorff,9.949874
111,28,,Aorta,Hausdorff,20.248457
112,28,,Esophagus,IoU,0.44248262
113,28,,Heart,IoU,0.78292555
114,28,,Trachea,IoU,0.74459106
115,28,,Aorta,IoU,0.7846951
116,28,,Esophagus,Precision,0.649264
117,28,,Heart,Precision,0.9781135
118,28,,Trachea,Precision,0.87748754
119,28,,Aorta,Precision,0.8931697
120,28,,Esophagus,Volumetric,0.9449184
121,28,,Heart,Volumetric,0.8979001
122,28,,Trachea,Volumetric,0.9727768
123,28,,Aorta,Volumetric,0.984539
124,28,,Esophagus,VOE,0.5575174
125,28,,Heart,VOE,0.21707445
126,28,,Trachea,VOE,0.25540894
127,28,,Aorta,VOE,0.21530491
